SAMPA,IPA,X-SAMPA,Quality,Syllabic,Consonantal,Sonorant,Continuant,Delayed Release,Approximant,Tap,Trill,Nasal,Voice,Spread Glottis,Constricted Glottis,Labial,Round,Labiodental,Coronal,Anterior,Distributed,Strident,Lateral,Dorsal,High,Low,Front,Back,Tense
vw,ʋ,v_d,approximant,0,0,1,1,,1,0,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
?,ʔ,?,plosive,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,0,,,,,
??,ʡ,?`,plosive,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
h,h,h,fricative,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,,,,,
H,ʜ,H,fricative,0,,,,,,,,,,,,,,,,,,,,,,,,,
hv,ɦ,h\,fricative,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,,,,0,0,,,,,
v,v,v,fricative,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
?\,ʢ,H_v,fricative,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,,,,0,0,,,,,
?h,ʔ͡h,?h,affricate,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,0,0,,,,,
??+,ʡ͡ʢ,??\,affricate,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,0,0,,,,,
H\,ɥ,H\,approximant,0,0,1,1,,1,0,0,0,1,0,0,1,1,0,0,,,,0,1,1,0,1,0,1
uc,ɰ,M\,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
q,q,q,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
k,k,k,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
k!,ǂ,k!,click,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
G,ɢ,G\,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
Gi,ʛ,G\_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
g,ɡ,g,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
gi,ɠ,g_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
X,χ,X,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
h+,ħ,H\,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,1,0,1,
x,x,x,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
R+,ʁ,R,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
?+,ʕ,?\,fricative,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,1,0,1,
V,ɣ,G,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,, ,0,1,1,0,,,
qX,q͡χ,qX,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,1,
kL,k͡ʟ̝̥,kL\,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
kx,k͡x,kx,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,1,0,,,
GR+,ɢ͡ʁ,G\R,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
gV,g͡ɣ,gG,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,,,
L,ʟ,L\,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,1,1,1,0,,,
RR,ʀ,RR,trill,0,1,1,1,,1,0,1,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
r,ɹ,r\,tap,0,0,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,,,,
t+,ʈ,t`,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
d+,ɖ,d`,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
sh,ʂ,s`,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,
S,ʃ,S,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
zh,ʐ,z`,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,,
Z,ʒ,Z,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,,,,,
tS,t͡ʃ,tS,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
t+l+,ʈ͡ɭ̝̥,t`l`,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,,,
t+sh,ʈ͡ʂ,ts\,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,
dZ,d͡ʒ,dZ,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,,,,,
d+l+,ɖ͡ɭ̥̝,d`l`,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,,,,,
d+zh,ɖ͡ʐ,dz\,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,,
l+,ɭ,l`,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,,,,,
r+,ɻ,r\`,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
rr+,ɽ,r`,tap,0,1,1,1,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
j,j,j,approximant,0,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,0,1,1,0,1,0,1
C,c,c,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
Ji,ʄ,J\_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
J,ɟ,J\,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
ch,ç,C,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,.
jh,ʝ,j\,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,.
Cch,c͡ç,cC,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
Cy+,c͡ʎ̝̥,cL,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
Jjh,ɟ͡ʝ,Jj\,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
Jy+,ɟ͡ʎ̝̥,JL,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
y+,ʎ,L,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,
t,t,t,plosive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,
t!,ǀ,|\,click,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,,
!,ǃ,!\,click,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,
d,d,d,plosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,,
di,ɗ,d_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,,
s,s,s,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,,
T,θ,T,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,,,,
D,ð,D,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,,,,,
z,z,z,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,,,,,
ts,t͡s,ts,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,,
tlS,t͡ɬ,tK,affricate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,
tr,t̠͡ɹ̠̥,tr,affricate,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,
dr,d̠͡ɹ̠̝,dr,affricate,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,,,,,
dz,d͡z,dz,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,,,,,
l,l,l,approximant,0,1,1,1,,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,,,,,
rr,r,r,trill,0,1,1,1,,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,,
R,ɾ,4,tap,0,1,1,1,,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,,,,
ss,ɕ,s\,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,
zz,ʑ,z\,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,
lK,ɫ,l_e,approximant,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,,,,,
!!,ǁ,|\|\,click,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,
lS,ɬ,K,fricative,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,
lZ,ɮ,K\,fricative,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,,,,,
dlZ,d͡ɮ,dK\,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,,,,,,
gL,g͡ʟ̝,gL\,affricate,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,,,1,0,1,1,0,,,
xx,ɧ,x\,fricative,0,,,,,,,,,,,,,,,,,,,,,,,,,
p,p,p,plosive,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,,,,,
p!,ʘ,O\,click,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,0,0,,,,,
b,b,b,plosive,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,0,0,,,,,
bi,ɓ,b_<,implosive,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,0,0,,,,,
P,ɸ,p\,fricative,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,,,,,
B,β,B,fricative,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,,,,0,0,,,,,
bb,ʙ,B\,trill,0,1,1,1,,1,0,1,0,1,0,0,1,0,0,0,,,,0,0,,,,,
wh,ʍ,W,approximant,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,,,,0,1,1,0,0,1,1
w,w,w,approximant,0,0,1,1,,1,0,0,0,1,0,0,1,1,0,0,,,,0,1,1,0,0,1,1
f,f,f,fricative,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,0,0,,,,,
pf,p̪͡f,p_df,affricate,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,,,,0,0,,,,,
bf,b̪͡f,b_df,affricate,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
vd,ⱱ,R\,tap,0,1,1,1,,1,1,0,0,1,0,0,1,0,1,0,,,,0,0,,,,,
$,ə,@,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,0,0
3,ɜ,3,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,0,0
9,ɞ,3\,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,0,0,0
O,ɔ,O,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,0,1,0
^,ʌ,V,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,1,0
e+,ɘ,@\,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,0,1
$,ɚ,@,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,0,1
3,ɝ,3,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,0,1
o+,ɵ,8,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,0,0,1
V+,ɤ,7,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,0,1,1
o,o,o,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,0,1,1
a,a,a,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,1,0,0,
&,ɐ,6,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,1,0,0,
A,ɑ,A,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,1,0,1,
aa,ɒ,Q,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,1,0,1,
E,ɛ,E,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,1,0,0
e,e,e,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,0,1,0,1
ee,ø,2,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,1,0,1
oe,œ,9,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,0,1,0,1
@,æ,{,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,0,1,1,0,
OE,ɶ,&,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,0,1,1,0,
U,ʊ,U,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,1,0,0,1,0
i/,ɨ,1,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,1,0,0,0,1
u/,ʉ,},monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,1,0,0,0,1
u,u,u,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,1,0,0,1,1
uu,ɯ,M,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,1,0,0,1,1
I,ɪ,I,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,1,0,1,0,0
Y,ʏ,Y,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,1,0,1,0,0
i,i,i,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,0,0,0,,,,,1,1,0,1,0,1
y,y,y,monophthong,1,0,1,1,,1,0,0,0,1,0,0,0,1,0,0,,,,,1,1,0,1,0,1
E_n,ɛ̃,E_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,1,0,0
e+_n,ɘ̃,e+_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,0,0,1
ee_n,ø̃,ee_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,1,0,1
a_n,ã,a_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,1,1,0,
O_n,ɔ̃,O_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,0,1,0
aa_n,ɒ̃,aa_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,1,0,1,
e_n,ẽ,e_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,1,0,1
N,ɴ,N\,plosive,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,,,,0,1,0,0,0,1,
o+_n,ɵ̃,o+_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,0,0,1
V+_n,ɤ̃,V+_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,0,1,1
o_n,õ,o_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,0,1,1
A_n,ɑ̃,A_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,1,0,1,
i_n,ĩ,i_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,1,0,1,0,1
I_n,ɪ̃,I_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,1,0,1,0,0
i/_n,ɨ̃,i/_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,1,0,0,0,1
n,n,n,plosive,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,,,,
oe_n,œ̃,oe_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,1,0,0
9_n,ɞ̃,9_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,0,0,0,0
OE_n,ɶ̃,OE_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,0,1,1,0,
U_n,ʊ̃,U_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,1,0,0,1,0
nY,ɲ,J,plosive,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
u/_n,ʉ̃,u/_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,1,0,0,0,1
u_n,ũ,u_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,1,0,0,1,1
uu_n,ɯ̃,uu_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,1,0,0,1,1
n+,ɳ,n`,plosive,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,,,,
Y_n,ʏ̃,Y_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,1,0,1,0,0
nK,ŋ,N,plosive,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,,,,0,1,1,0,,,
y_n,ỹ,y_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,1,0,0,,,,,1,1,0,1,0,1
@_n,æ̃,@_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,1,1,0,
_n,ɐ̃,_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,1,0,0,
$_n,ə̃,$_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,0,0,0
3_n,ɜ̃,3_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,0,0,0
^_n,ʌ̃,^_n,nasal,1,0,1,1,,1,0,0,1,1,0,0,0,0,0,0,,,,,1,0,0,0,1,0
m,m,m,plosive,0,1,1,0,,0,0,0,1,1,0,0,1,0,0,0,,,,0,0,,,,,
md,ɱ,F,plosive,0,1,1,0,,0,0,0,1,1,0,0,1,0,1,0,,,,0,0,,,,,