IPA,X-SAMPA,Type
̈,"_""",Tongue Position
̟,_+,Tongue Position
̠,_-,Tongue Position
̌,_/,Tone
̥,_0,Quality
̩,_=,Syllabification
ʼ,_>,Quality
ˤ,_?\,Articulation
̂,_\,Tone
̯,_^,Syllabification
̚,_},Quality
˞,`,Quality
˜,_~,Quality
̘,_A,Tongue Position
̺,_a,Quality
̏,_B,Tone
᷅,_B_L,Tone
̜,_c,Quality
̪,_d,Articulation
↘,<F>,Tone
̂,_F,Tone
ˠ,_G,Articulation
́,_H,Tone
᷄,_H_T,Tone
ʰ,_h,Articulation
ʲ,_j,Articulation
̰,_k,Quality
̀,_L,Tone
ˡ,_l,Articulation
̄,_M,Tone
̻,_m,Articulation
̼,_N,Articulation
ⁿ,_n,Articulation
̹,_O,Quality
̞,_o,Tongue Position
̙,_q,Tongue Position
↗,<R>,Tone
̌,_R,Tone
᷈,_R_F,Tone
̝,_r,Tongue Position
̋,_T,Tone
̤,_t,Quality
̬,_v,Quality
ʷ,_w,Articulation
̆,_X,Quality
̽,_x,Tongue Position
͡,&,